fighter1,fighter2,result1,result2,date
Cynthia-Calvillo,Poliana-Botelho,Win,Loss,2018-11-18
Michel-Prazeres,Bartosz-Fabinski,Win,Loss,2018-11-18
Alexandre-Pantoja,Yuta-Sasaki,Win,Loss,2018-11-18
Humberto-Bandenay,Austin-Arnett,Loss,Win,2018-11-18
Laureano-Staropoli,Hector-Aldana,Win,Loss,2018-11-18
Devin-Powell,Jesus-Pinedo,Loss,Win,2018-11-18
Nad-Narimani,Anderson-Dos Santos,Win,Loss,2018-11-18
Jon-Jones,Alexander-Gustafsson,Win,Loss,2018-12-29
Cristiane-Justino,Amanda-Nunes,Loss,Win,2018-12-29
Carlos-Condit,Michael-Chiesa,Loss,Win,2018-12-29
Ilir-Latifi,Corey-Anderson,Loss,Win,2018-12-29
Chad-Mendes,Alexander-Volkanovski,Loss,Win,2018-12-29
Andrei-Arlovski,Walt-Harris,No Contest,No Contest,2018-12-29
Cat-Zingano,Megan-Anderson,Loss,Win,2018-12-29
Douglas-Silva de Andrade,Petr-Yan,Loss,Win,2018-12-29
BJ-Penn,Ryan-Hall,Loss,Win,2018-12-29
Nathaniel-Wood,Andre-Ewell,Win,Loss,2018-12-29
Uriah-Hall,Bevon-Lewis,Win,Loss,2018-12-29
Curtis-Millender,Siyar-Bahadurzada,Win,Loss,2018-12-29
Brian-Kelleher,Montel-Jackson,Loss,Win,2018-12-29
Henry-Cejudo,TJ-Dillashaw,Win,Loss,2019-01-19
Greg-Hardy,Allen-Crowder,Loss,Win,2019-01-19
Gregor-Gillespie,Yancy-Medeiros,Win,Loss,2019-01-19
Joseph-Benavidez,Dustin-Ortiz,Win,Loss,2019-01-19
Paige-VanZant,Rachael-Ostovich,Win,Loss,2019-01-19
Glover-Teixeira,Karl-Roberson,Win,Loss,2019-01-19
Alexander-Hernandez,Donald-Cerrone,Loss,Win,2019-01-19
Joanne-Wood,Ariane-Lipski,Win,Loss,2019-01-19
Alonzo-Menifield,Vinicius-Moreira,Win,Loss,2019-01-19
Cory-Sandhagen,Mario-Bautista,Win,Loss,2019-01-19
Dennis-Bermudez,Te-Edwards,Win,Loss,2019-01-19
Belal-Muhammad,Geoff-Neal,Loss,Win,2019-01-19
Kyle-Stewart,Chance-Rencountre,Loss,Win,2019-01-19
Israel-Adesanya,Anderson-Silva,Win,Loss,2019-02-10
Lando-Vannata,Marcos-Mariano,Win,Loss,2019-02-10
Rani-Yahya,Ricky-Simon,Loss,Win,2019-02-10
Montana-De La Rosa,Nadia-Kassem,Win,Loss,2019-02-10
Jimmy-Crute,Sam-Alvey,Win,Loss,2019-02-10
Devonte-Smith,Dong Hyun-Ma,Win,Loss,2019-02-10
Shane-Young,Austin-Arnett,Win,Loss,2019-02-10
Kai-Kara-France,Raulian-Paiva,Win,Loss,2019-02-10
Teruto-Ishihara,Kyung Ho-Kang,Loss,Win,2019-02-10
Callan-Potter,Jalin-Turner,Loss,Win,2019-02-10
Wuliji-Buren,Jonathan-Martinez,Loss,Win,2019-02-10
Jon-Jones,Anthony-Smith,Win,Loss,2019-03-02
Tyron-Woodley,Kamaru-Usman,Loss,Win,2019-03-02
Robbie-Lawler,Ben-Askren,Loss,Win,2019-03-02
Tecia-Torres,Zhang-Weili,Loss,Win,2019-03-02
Cody-Garbrandt,Pedro-Munhoz,Loss,Win,2019-03-02
Jeremy-Stephens,Zabit-Magomedsharipov,Loss,Win,2019-03-02
Misha-Cirkunov,Johnny-Walker,Loss,Win,2019-03-02
Cody-Stamann,Alejandro-Perez,Win,Loss,2019-03-02
Diego-Sanchez,Mickey-Gall,Win,Loss,2019-03-02
Edmen-Shahbazyan,Charles-Byrd,Win,Loss,2019-03-02
Gina-Mazany,Macy-Chiasson,Loss,Win,2019-03-02
Polyana-Viana,Hannah-Cifers,Loss,Win,2019-03-02
Darren-Till,Jorge-Masvidal,Loss,Win,2019-03-16
Leon-Edwards,Gunnar-Nelson,Win,Loss,2019-03-16
Volkan-Oezdemir,Dominick-Reyes,Loss,Win,2019-03-16
Nathaniel-Wood,Jose-Quinonez,Win,Loss,2019-03-16
Danny-Roberts,Claudio-Silva,Loss,Win,2019-03-16
Jack-Marshman,John-Phillips,Win,Loss,2019-03-16
Arnold-Allen,Jordan-Rinaldi,Win,Loss,2019-03-16
Marc-Diakiese,Joe-Duffy,Win,Loss,2019-03-16
Nicolae-Negumereanu,Saparbeg-Safarov,Loss,Win,2019-03-16
Danny-Henry,Dan-Ige,Loss,Win,2019-03-16
Molly-McCann,Priscila-Cachoeira,Win,Loss,2019-03-16
Mike-Grundy,Nad-Narimani,Win,Loss,2019-03-16
Francis-Ngannou,Cain-Velasquez,Win,Loss,2019-02-17
James-Vick,Paul-Felder,Loss,Win,2019-02-17
Cortney-Casey,Cynthia-Calvillo,Loss,Win,2019-02-17
Alex-Caceres,Kron-Gracie,Loss,Win,2019-02-17
Vicente-Luque,Bryan-Barberena,Win,Loss,2019-02-17
Andre-Fili,Myles-Jury,Win,Loss,2019-02-17
Jimmie-Rivera,Aljamain-Sterling,Loss,Win,2019-02-17
Benito-Lopez,Manny-Bermudez,Loss,Win,2019-02-17
Ashlee-Evans-Smith,Andrea-Lee,Loss,Win,2019-02-17
Scott-Holtzman,Nik-Lentz,Loss,Win,2019-02-17
Renan-Barao,Luke-Sanders,Loss,Win,2019-02-17
Aleksandra-Albu,Emily-Whitmire,Loss,Win,2019-02-17
Raphael-Assuncao,Marlon-Moraes,Loss,Win,2019-02-02
Jose-Aldo,Renato-Moicano,Win,Loss,2019-02-02
Demian-Maia,Lyman-Good,Win,Loss,2019-02-02
Charles-Oliveira,David-Teymur,Win,Loss,2019-02-02
Johnny-Walker,Justin-Ledet,Win,Loss,2019-02-02
Livinha-Souza,Sarah-Frota,Win,Loss,2019-02-02
Markus-Perez,Anthony-Hernandez,Win,Loss,2019-02-02
Mara-Romero Borella,Taila-Santos,Win,Loss,2019-02-02
Thiago-Alves,Max-Griffin,Win,Loss,2019-02-02
Junior-Albini,Jairzinho-Rozenstruik,Loss,Win,2019-02-02
Geraldo-de Freitas,Felipe-Colares,Win,Loss,2019-02-02
Ricardo-Ramos,Said-Nurmagomedov,Loss,Win,2019-02-02
Bibulatov-Magomed,Rogerio-Bontorin,Loss,Win,2019-02-02
Edson-Barboza,Justin-Gaethje,Loss,Win,2019-03-30
David-Branch,Jack-Hermansson,Loss,Win,2019-03-30
Josh-Emmett,Michael-Johnson,Win,Loss,2019-03-30
Karolina-Kowalkiewicz,Michelle-Waterson,Loss,Win,2019-03-30
Kennedy-Nzechukwu,Paul-Craig,Loss,Win,2019-03-30
Sodiq-Yusuff,Sheymon-Moraes,Win,Loss,2019-03-30
Marina-Rodriguez,Jessica-Aguilar,Win,Loss,2019-03-30
Ross-Pearson,Desmond-Green,Loss,Win,2019-03-30
Enrique-Barzola,Kevin-Aguilar,Loss,Win,2019-03-30
Kevin-Holland,Gerald-Meerschaert,Win,Loss,2019-03-30
Ray-Borg,Casey-Kenney,Loss,Win,2019-03-30
Sabina-Mazo,Maryna-Moroz,Loss,Win,2019-03-30
Alex-Perez,Mark-De La Rosa,Win,Loss,2019-03-30
Jan-Blachowicz,Thiago-Santos,Loss,Win,2019-02-23
Stefan-Struve,Marcos-Rogerio de Lima,Win,Loss,2019-02-23
Gian-Villante,Michal-Oleksiejczuk,Loss,Win,2019-02-23
Liz-Carmouche,Lucie-Pudilova,Win,Loss,2019-02-23
John-Dodson,Petr-Yan,Loss,Win,2019-02-23
Magomed-Ankalaev,Klidson-Abreu,Win,Loss,2019-02-23
Dwight-Grant,Carlo-Pedersoli Jr.,Win,Loss,2019-02-23
Daniel-Teymur,Chris-Fishgold,Loss,Win,2019-02-23
Veronica-Macedo,Gillian-Robertson,Loss,Win,2019-02-23
Damir-Hadzovic,Marco Polo-Reyes,Win,Loss,2019-02-23
Michel-Prazeres,Ismail-Naurdiev,Loss,Win,2019-02-23
Rustam-Khabilov,Diego-Ferreira,Loss,Win,2019-02-23
Damir-Ismagulov,Joel-Alvarez,Win,Loss,2019-02-23
Derrick-Lewis,Junior-Dos Santos,Loss,Win,2019-03-09
Elizeu-Zaleski dos Santos,Curtis-Millender,Win,Loss,2019-03-09
Tim-Means,Niko-Price,Loss,Win,2019-03-09
Blagoy-Ivanov,Ben-Rothwell,Win,Loss,2019-03-09
Beneil-Dariush,Drew-Dober,Win,Loss,2019-03-09
Tim-Boetsch,Omari-Akhmedov,Loss,Win,2019-03-09
Anthony Rocco-Martin,Sergio-Moraes,Win,Loss,2019-03-09
Marion-Reneau,Yana-Kunitskaya,Loss,Win,2019-03-09
Grant-Dawson,Julian-Erosa,Win,Loss,2019-03-09
Maurice-Greene,Jeff-Hughes,Win,Loss,2019-03-09
Louis-Smolka,Matt-Schnell,Loss,Win,2019-03-09
Alex-Morono,Zak-Ottow,Win,Loss,2019-03-09
Alex-White,Dan-Moret,Win,Loss,2019-03-09
Al-Iaquinta,Donald-Cerrone,Loss,Win,2019-05-04
Derek-Brunson,Elias-Theodorou,Win,Loss,2019-05-04
Cub-Swanson,Shane-Burgos,Loss,Win,2019-05-04
Brad-Katona,Merab-Dvalishvili,Loss,Win,2019-05-04
Walt-Harris,Serghei-Spivac,Win,Loss,2019-05-04
Marc-Andre-Barriault,Andrew-Sanchez,Loss,Win,2019-05-04
Macy-Chiasson,Sarah-Moras,Win,Loss,2019-05-04
Aiemann-Zahabi,Vince-Morales,Loss,Win,2019-05-04
Nordine-Taleb,Kyle-Prepolec,Win,Loss,2019-05-04
Kyle-Nelson,Matt-Sayles,Loss,Win,2019-05-04
Arjan-Bhullar,Juan-Adams,Win,Loss,2019-05-04
Mitch-Gagnon,Cole-Smith,Loss,Win,2019-05-04
Alistair-Overeem,Aleksei-Oleinik,Win,Loss,2019-04-20
Islam-Makhachev,Arman-Tsarukyan,Win,Loss,2019-04-20
Sergei-Pavlovich,Marcelo-Golm,Win,Loss,2019-04-20
Roxanne-Modafferi,Antonina-Shevchenko,Win,Loss,2019-04-20
Krzysztof-Jotko,Alen-Amedovski,Win,Loss,2019-04-20
Movsar-Evloev,SeungWoo-Choi,Win,Loss,2019-04-20
Sultan-Aliev,Keita-Nakamura,Win,Loss,2019-04-20
Alexander-Yakovlev,Alex-Da Silva,Win,Loss,2019-04-20
Marcin-Tybura,Shamil-Abdurakhimov,Loss,Win,2019-04-20
Gadzhimurad-Antigulov,Michal-Oleksiejczuk,Loss,Win,2019-04-20
Magomed-Mustafaev,Rafael-Fiziev,Win,Loss,2019-04-20
Stephen-Thompson,Anthony-Pettis,Loss,Win,2019-03-23
Curtis-Blaydes,Justin-Willis,Win,Loss,2019-03-23
John-Makdessi,Jesus-Pinedo,Win,Loss,2019-03-23
Jussier-Formiga,Deiveson-Figueiredo,Win,Loss,2019-03-23
Luis-Pena,Steven-Peterson,Win,Loss,2019-03-23
Maycee-Barber,JJ-Aldrich,Win,Loss,2019-03-23
Bryce-Mitchell,Bobby-Moffett,Win,Loss,2019-03-23
Marlon-Vera,Frankie-Saenz,Win,Loss,2019-03-23
Alexis-Davis,Jennifer-Maia,Loss,Win,2019-03-23
Randa-Markos,Angela-Hill,Win,Loss,2019-03-23
Ryan-MacDonald,Chris-Gutierrez,Loss,Win,2019-03-23
Eric-Shelton,Jordan-Espinosa,Loss,Win,2019-03-23
Max-Holloway,Dustin-Poirier,Loss,Win,2019-04-13
Kelvin-Gastelum,Israel-Adesanya,Loss,Win,2019-04-13
Eryk-Anders,Khalil-Rountree Jr.,Loss,Win,2019-04-13
Alan-Jouban,Dwight-Grant,Loss,Win,2019-04-13
Ovince-Saint Preux,Nikita-Krylov,Loss,Win,2019-04-13
Jalin-Turner,Matt-Frevola,Loss,Win,2019-04-13
Wilson-Reis,Alexandre-Pantoja,Loss,Win,2019-04-13
Max-Griffin,Zelim-Imadaev,Win,Loss,2019-04-13
Boston-Salmon,Khalid-Taha,Loss,Win,2019-04-13
Curtis-Millender,Belal-Muhammad,Loss,Win,2019-04-13
Montel-Jackson,Andre-Soukhamthath,Win,Loss,2019-04-13
Lauren-Mueller,Poliana-Botelho,Loss,Win,2019-04-13
Brandon-Davis,Randy-Costa,Win,Loss,2019-04-13
Rose-Namajunas,Jessica-Andrade,Loss,Win,2019-05-11
Jared-Cannonier,Anderson-Silva,Win,Loss,2019-05-11
Jose-Aldo,Alexander-Volkanovski,Loss,Win,2019-05-11
Thiago-Alves,Laureano-Staropoli,Loss,Win,2019-05-11
Irene-Aldana,Bethe-Correia,Win,Loss,2019-05-11
Rogerio-Nogueira,Ryan-Spann,Loss,Win,2019-05-11
Thiago-Moises,Kurt-Holobaugh,Win,Loss,2019-05-11
Warlley-Alves,Sergio-Moraes,Win,Loss,2019-05-11
BJ-Penn,Clay-Guida,Loss,Win,2019-05-11
Luana-Carolina,Priscila-Cachoeira,Win,Loss,2019-05-11
Raoni-Barcelos,Carlos-Huachin,Win,Loss,2019-05-11
Talita-Bernardo,Viviane-Araujo,Loss,Win,2019-05-11
Alexander-Gustafsson,Anthony-Smith,Loss,Win,2019-06-01
Jimi-Manuwa,Aleksandar-Rakic,Loss,Win,2019-06-01
Makwan-Amirkhani,Chris-Fishgold,Win,Loss,2019-06-01
Damir-Hadzovic,Christos-Giagos,Loss,Win,2019-06-01
Daniel-Teymur,Sung Bin-Jo,Win,Loss,2019-06-01
Rostem-Akman,Sergey-Khandozhko,Loss,Win,2019-06-01
Tonya-Evinger,Lina-Lansberg,Loss,Win,2019-06-01
Stevie-Ray,Leonardo-Santos,Loss,Win,2019-06-01
Nick-Hein,Frank-Camacho,Loss,Win,2019-06-01
Bea-Malecki,Duda-Santana,Win,Loss,2019-06-01
Darko-Stosic,Devin-Clark,Loss,Win,2019-06-01
Joel-Alvarez,Danilo-Belluardo,Win,Loss,2019-06-01
Henry-Cejudo,Marlon-Moraes,Win,Loss,2019-06-08
Valentina-Shevchenko,Jessica-Eye,Win,Loss,2019-06-08
Tony-Ferguson,Donald-Cerrone,Win,Loss,2019-06-08
Jimmie-Rivera,Petr-Yan,Loss,Win,2019-06-08
Tai-Tuivasa,Blagoy-Ivanov,Loss,Win,2019-06-08
Tatiana-Suarez,Nina-Nunes,Win,Loss,2019-06-08
Aljamain-Sterling,Pedro-Munhoz,Win,Loss,2019-06-08
Karolina-Kowalkiewicz,Alexa-Grasso,Loss,Win,2019-06-08
Ricardo-Lamas,Calvin-Kattar,Loss,Win,2019-06-08
Yan-Xiaonan,Angela-Hill,Win,Loss,2019-06-08
Bevon-Lewis,Darren-Stewart,Loss,Win,2019-06-08
Eddie-Wineland,Grigory-Popov,Win,Loss,2019-06-08
Katlyn-Chookagian,Joanne-Wood,Win,Loss,2019-06-08
Jacare-Souza,Jack-Hermansson,Loss,Win,2019-04-27
Greg-Hardy,Dmitrii-Smoliakov,Win,Loss,2019-04-27
Alex-Oliveira,Mike-Perry,Loss,Win,2019-04-27
Glover-Teixeira,Ion-Cutelaba,Win,Loss,2019-04-27
John-Lineker,Cory-Sandhagen,Loss,Win,2019-04-27
Roosevelt-Roberts,Thomas-Gifford,Win,Loss,2019-04-27
Ben-Saunders,Takashi-Sato,Loss,Win,2019-04-27
Andrei-Arlovski,Augusto-Sakai,Loss,Win,2019-04-27
Carla-Esparza,Virna-Jandiroba,Win,Loss,2019-04-27
Gilbert-Burns,Mike-Davis,Win,Loss,2019-04-27
Jim-Miller,Jason-Gonzalez,Win,Loss,2019-04-27
Angela-Hill,Jodie-Esquibel,Win,Loss,2019-04-27
Court-McGee,Dhiego-Lima,Loss,Win,2019-04-27
Renato-Moicano,Chan Sung-Jung,Loss,Win,2019-06-22
Bryan-Barberena,Randy-Brown,Loss,Win,2019-06-22
Andre-Ewell,Anderson-Dos Santos,Win,Loss,2019-06-22
Andrea-Lee,Montana-De La Rosa,Win,Loss,2019-06-22
Kevin-Holland,Alessio-Di Chirico,Win,Loss,2019-06-22
Dan-Ige,Kevin-Aguilar,Win,Loss,2019-06-22
Ashley-Yoder,Syuri-Kondo,Win,Loss,2019-06-22
Matt-Wiman,Luis-Pena,Loss,Win,2019-06-22
Allen-Crowder,Jairzinho-Rozenstruik,Loss,Win,2019-06-22
Ariane-Lipski,Molly-McCann,Loss,Win,2019-06-22
Deron-Winn,Eric-Spicely,Win,Loss,2019-06-22
Rafael-Dos Anjos,Kevin-Lee,Win,Loss,2019-05-18
Antonio-Carlos Junior,Ian-Heinisch,Loss,Win,2019-05-18
Megan-Anderson,Felicia-Spencer,Loss,Win,2019-05-18
Vicente-Luque,Derrick-Krantz,Win,Loss,2019-05-18
Charles-Oliveira,Nik-Lentz,Win,Loss,2019-05-18
Davi-Ramos,Austin-Hubbard,Win,Loss,2019-05-18
Aspen-Ladd,Sijara-Eubanks,Win,Loss,2019-05-18
Desmond-Green,Charles-Jourdain,Win,Loss,2019-05-18
Danny-Roberts,Michel-Pereira,Loss,Win,2019-05-18
Michael-Trizano,Grant-Dawson,Loss,Win,2019-05-18
Patrick-Cummins,Ed-Herman,Loss,Win,2019-05-18
Zak-Cummings,Trevin-Giles,Win,Loss,2019-05-18
Julio-Arce,Julian-Erosa,Win,Loss,2019-05-18
Francis-Ngannou,Junior-Dos Santos,Win,Loss,2019-06-29
Jussier-Formiga,Joseph-Benavidez,Loss,Win,2019-06-29
Demian-Maia,Anthony Rocco-Martin,Win,Loss,2019-06-29
Roosevelt-Roberts,Vinc-Pichel,Loss,Win,2019-06-29
Drew-Dober,Marco Polo-Reyes,Win,Loss,2019-06-29
Alonzo-Menifield,Paul-Craig,Win,Loss,2019-06-29
Ricardo-Ramos,Journey-Newson,Win,Loss,2019-06-29
Eryk-Anders,Vinicius-Moreira,Win,Loss,2019-06-29
Jared-Gordon,Dan-Moret,Win,Loss,2019-06-29
Dalcha-Lungiambula,Dequan-Townsend,Win,Loss,2019-06-29
Emily-Whitmire,Amanda-Ribas,Loss,Win,2019-06-29
Maurice-Greene,Junior-Albini,Win,Loss,2019-06-29
Max-Holloway,Frankie-Edgar,Win,Loss,2019-07-27
Cristiane-Justino,Felicia-Spencer,Win,Loss,2019-07-27
Geoff-Neal,Niko-Price,Win,Loss,2019-07-27
Olivier-Aubin-Mercier,Arman-Tsarukyan,Loss,Win,2019-07-27
Marc-Andre-Barriault,Krzysztof-Jotko,Loss,Win,2019-07-27
Alexis-Davis,Viviane-Araujo,Loss,Win,2019-07-27
Hakeem-Dawodu,Yoshinori-Horie,Win,Loss,2019-07-27
Gavin-Tucker,SeungWoo-Choi,Win,Loss,2019-07-27
Alexandre-Pantoja,Deiveson-Figueiredo,Loss,Win,2019-07-27
Gillian-Robertson,Sarah-Frota,Win,Loss,2019-07-27
Erik-Koch,Kyle-Stewart,Win,Loss,2019-07-27
Germaine-de Randamie,Aspen-Ladd,Win,Loss,2019-07-13
Urijah-Faber,Ricky-Simon,Win,Loss,2019-07-13
Josh-Emmett,Mirsad-Bektic,Win,Loss,2019-07-13
Karl-Roberson,Wellington-Turman,Win,Loss,2019-07-13
Marvin-Vettori,Cezar-Ferreira,Win,Loss,2019-07-13
Mike-Rodriguez,John-Allan,No Contest,No Contest,2019-07-13
Andre-Fili,Sheymon-Moraes,Win,Loss,2019-07-13
Julianna-Pena,Nicco-Montano,Win,Loss,2019-07-13
Darren-Elkins,Ryan-Hall,Loss,Win,2019-07-13
Pingyuan-Liu,Jonathan-Martinez,Loss,Win,2019-07-13
Livinha-Souza,Brianna-Van Buren,Loss,Win,2019-07-13
Benito-Lopez,Vince-Morales,Win,Loss,2019-07-13
Daniel-Cormier,Stipe-Miocic,Loss,Win,2019-08-17
Anthony-Pettis,Nate-Diaz,Loss,Win,2019-08-17
Yoel-Romero,Paulo-Costa,Loss,Win,2019-08-17
Gabriel-Benitez,Sodiq-Yusuff,Loss,Win,2019-08-17
Derek-Brunson,Ian-Heinisch,Win,Loss,2019-08-17
Devonte-Smith,Khama-Worthy,Loss,Win,2019-08-17
Raphael-Assuncao,Cory-Sandhagen,Loss,Win,2019-08-17
Christos-Giagos,Drakkar-Klose,Loss,Win,2019-08-17
Manny-Bermudez,Casey-Kenney,Loss,Win,2019-08-17
Hannah-Cifers,Jodie-Esquibel,Win,Loss,2019-08-17
Kyung Ho-Kang,Brandon-Davis,Win,Loss,2019-08-17
Sabina-Mazo,Shana-Dobson,Win,Loss,2019-08-17
Jon-Jones,Thiago-Santos,Win,Loss,2019-07-06
Amanda-Nunes,Holly-Holm,Win,Loss,2019-07-06
Jorge-Masvidal,Ben-Askren,Win,Loss,2019-07-06
Jan-Blachowicz,Luke-Rockhold,Win,Loss,2019-07-06
Diego-Sanchez,Michael-Chiesa,Loss,Win,2019-07-06
Gilbert-Melendez,Arnold-Allen,Loss,Win,2019-07-06
Marlon-Vera,Nohelin-Hernandez,Win,Loss,2019-07-06
Claudia-Gadelha,Randa-Markos,Win,Loss,2019-07-06
Alejandro-Perez,Song-Yadong,Loss,Win,2019-07-06
Edmen-Shahbazyan,Jack-Marshman,Win,Loss,2019-07-06
Ismail-Naurdiev,Chance-Rencountre,Loss,Win,2019-07-06
Julia-Avila,Pannie-Kianzad,Win,Loss,2019-07-06
Rafael-Dos Anjos,Leon-Edwards,Loss,Win,2019-07-20
Aleksei-Oleinik,Walt-Harris,Loss,Win,2019-07-20
Greg-Hardy,Juan-Adams,Win,Loss,2019-07-20
James-Vick,Dan-Hooker,Loss,Win,2019-07-20
Alexander-Hernandez,Francisco-Trinaldo,Win,Loss,2019-07-20
Andrei-Arlovski,Ben-Rothwell,Win,Loss,2019-07-20
Alex-Caceres,Steven-Peterson,Win,Loss,2019-07-20
Raquel-Pennington,Irene-Aldana,Win,Loss,2019-07-20
Sam-Alvey,Klidson-Abreu,Loss,Win,2019-07-20
Roxanne-Modafferi,Jennifer-Maia,Loss,Win,2019-07-20
Ray-Borg,Gabriel-Silva,Win,Loss,2019-07-20
Mario-Bautista,Jin-Soo Son,Win,Loss,2019-07-20
Domingo-Pilarte,Felipe-Colares,Loss,Win,2019-07-20
Valentina-Shevchenko,Liz-Carmouche,Win,Loss,2019-08-10
Vicente-Luque,Mike-Perry,Win,Loss,2019-08-10
Eduardo-Garagorri,Humberto-Bandenay,Win,Loss,2019-08-10
Volkan-Oezdemir,Ilir-Latifi,Win,Loss,2019-08-10
Rodolfo-Vieira,Oskar-Piechota,Win,Loss,2019-08-10
Enrique-Barzola,Bobby-Moffett,Win,Loss,2019-08-10
Gilbert-Burns,Aleksei-Kunchenko,Win,Loss,2019-08-10
Ciryl-Gane,Raphael-Pessoa,Win,Loss,2019-08-10
Tecia-Torres,Marina-Rodriguez,Loss,Win,2019-08-10
Rogerio-Bontorin,Raulian-Paiva,Win,Loss,2019-08-10
Geraldo-de Freitas,Chris-Gutierrez,Loss,Win,2019-08-10
Kazula-Vargas,Alex-Da Silva,Loss,Win,2019-08-10
Veronica-Macedo,Polyana-Viana,Win,Loss,2019-08-10
Jessica-Andrade,Zhang-Weili,Loss,Win,2019-08-31
Li-Jingliang,Elizeu-Zaleski dos Santos,Win,Loss,2019-08-31
Kai-Kara-France,Mark-De La Rosa,Win,Loss,2019-08-31
Song-Kenan,Derrick-Krantz,Win,Loss,2019-08-31
Wu-Yanan,Inoue-Mizuki,Loss,Win,2019-08-31
Junyong-Park,Anthony-Hernandez,Loss,Win,2019-08-31
-Sumudaerji,Andre-Soukhamthath,Win,Loss,2019-08-31
Da-Un-Jung,Khadis-Ibragimov,Win,Loss,2019-08-31
Damir-Ismagulov,Thiago-Moises,Win,Loss,2019-08-31
-Alatengheili,Danaa-Batgerel,Win,Loss,2019-08-31
Karol-Rosa,Lara-Procopio,Win,Loss,2019-08-31
Khabib-Nurmagomedov,Dustin-Poirier,Win,Loss,2019-09-07
Edson-Barboza,Paul-Felder,Loss,Win,2019-09-07
Islam-Makhachev,Davi-Ramos,Win,Loss,2019-09-07
Curtis-Blaydes,Shamil-Abdurakhimov,Win,Loss,2019-09-07
Mairbek-Taisumov,Diego-Ferreira,Loss,Win,2019-09-07
Joanne-Wood,Andrea-Lee,Win,Loss,2019-09-07
Zubaira-Tukhugov,Lerone-Murphy,Draw,Draw,2019-09-07
Liana-Jojua,Sarah-Moras,Loss,Win,2019-09-07
Ottman-Azaitar,Teemu-Packalen,Win,Loss,2019-09-07
Belal-Muhammad,Takashi-Sato,Win,Loss,2019-09-07
Nordine-Taleb,Muslim-Salikhov,Loss,Win,2019-09-07
Omari-Akhmedov,Zak-Cummings,Win,Loss,2019-09-07
Don-Madge,Fares-Ziam,Win,Loss,2019-09-07
Colby-Covington,Robbie-Lawler,Win,Loss,2019-08-03
Jim-Miller,Clay-Guida,Win,Loss,2019-08-03
Joaquim-Silva,Nasrat-Haqparast,Loss,Win,2019-08-03
Trevin-Giles,Gerald-Meerschaert,Loss,Win,2019-08-03
Scott-Holtzman,Dong Hyun-Ma,Win,Loss,2019-08-03
Darko-Stosic,Kennedy-Nzechukwu,Loss,Win,2019-08-03
Mickey-Gall,Salim-Touahri,Win,Loss,2019-08-03
Antonina-Shevchenko,Lucie-Pudilova,Win,Loss,2019-08-03
Jordan-Espinosa,Matt-Schnell,Loss,Win,2019-08-03
Lauren-Murphy,Mara-Romero Borella,Win,Loss,2019-08-03
Claudio-Silva,Cole-Williams,Win,Loss,2019-08-03
Miranda-Granger,Hannah-Goldy,Win,Loss,2019-08-03
Donald-Cerrone,Justin-Gaethje,Loss,Win,2019-09-14
Glover-Teixeira,Nikita-Krylov,Win,Loss,2019-09-14
Todd-Duffee,Jeff-Hughes,No Contest,No Contest,2019-09-14
Michel-Pereira,Tristan-Connelly,Loss,Win,2019-09-14
Uriah-Hall,Antonio-Carlos Junior,Win,Loss,2019-09-14
Misha-Cirkunov,Jimmy-Crute,Win,Loss,2019-09-14
Marcin-Tybura,Augusto-Sakai,Loss,Win,2019-09-14
Cole-Smith,Miles-Johns,Loss,Win,2019-09-14
Brad-Katona,Hunter-Azure,Loss,Win,2019-09-14
Chas-Skelly,Jordan-Griffin,Win,Loss,2019-09-14
Louis-Smolka,Ryan-MacDonald,Win,Loss,2019-09-14
Kyle-Prepolec,Austin-Hubbard,Loss,Win,2019-09-14
Jorge-Masvidal,Nate-Diaz,Win,Loss,2019-11-02
Kelvin-Gastelum,Darren-Till,Loss,Win,2019-11-02
Stephen-Thompson,Vicente-Luque,Win,Loss,2019-11-02
Derrick-Lewis,Blagoy-Ivanov,Win,Loss,2019-11-02
Kevin-Lee,Gregor-Gillespie,Win,Loss,2019-11-02
Corey-Anderson,Johnny-Walker,Win,Loss,2019-11-02
Shane-Burgos,Makwan-Amirkhani,Win,Loss,2019-11-02
Brad-Tavares,Edmen-Shahbazyan,Loss,Win,2019-11-02
Andrei-Arlovski,Jairzinho-Rozenstruik,Loss,Win,2019-11-02
Katlyn-Chookagian,Jennifer-Maia,Win,Loss,2019-11-02
Lyman-Good,Chance-Rencountre,Win,Loss,2019-11-02
Julio-Arce,Hakeem-Dawodu,Loss,Win,2019-11-02
Jack-Hermansson,Jared-Cannonier,Loss,Win,2019-09-28
Mark-Madsen,Danilo-Belluardo,Win,Loss,2019-09-28
Gunnar-Nelson,Gilbert-Burns,Loss,Win,2019-09-28
Ion-Cutelaba,Khalil-Rountree Jr.,Win,Loss,2019-09-28
Michal-Oleksiejczuk,Ovince-Saint Preux,Loss,Win,2019-09-28
Nicolas-Dalby,Alex-Oliveira,Win,Loss,2019-09-28
Alen-Amedovski,John-Phillips,Loss,Win,2019-09-28
Alessio-Di Chirico,Makhmud-Muradov,Loss,Win,2019-09-28
Siyar-Bahadurzada,Ismail-Naurdiev,Loss,Win,2019-09-28
Brandon-Davis,Giga-Chikadze,Loss,Win,2019-09-28
Macy-Chiasson,Lina-Lansberg,Loss,Win,2019-09-28
